plot,plotpasture,pasture,water.yr,wyr.ppt,f.ppt,cs.ppt,gs.ppt,lag.wyr,lag.f,lag.cs,lag.gs,lag2.wyr,lag2.f,lag2.cs,lag2.gs
1,1_17S,17S,2016,238.6528373,59.05419278,71.374,108.2246446,379.2400334,77.28686237,60.198,241.755171,455.5715016,187.7543582,191.6171434,191.6171434
1,1_17S,17S,2017,322.9945017,59.37307836,55.88,207.7414233,238.6528373,59.05419278,71.374,108.2246446,379.2400334,77.28686237,241.755171,241.755171
1,1_17S,17S,2018,329.0594534,83.05172539,53.34,192.6677281,322.9945017,59.37307836,55.88,207.7414233,238.6528373,59.05419278,108.2246446,108.2246446
1,1_17S,17S,2019,343.3226818,21.775899,78.08195643,243.4648263,329.0594534,83.05172539,53.34,192.6677281,322.9945017,59.37307836,207.7414233,207.7414233
1,1_17S,17S,2020,276.9746863,31.04703344,80.11507301,165.8125799,343.3226818,21.775899,78.08195643,243.4648263,329.0594534,83.05172539,192.6677281,192.6677281
1,1_17S,17S,2021,395.9248991,20.73554541,112.6026306,262.5867231,276.9746863,31.04703344,80.11507301,165.8125799,343.3226818,21.775899,243.4648263,243.4648263
1,1_17S,17S,2022,283.0372534,36.39663535,66.37694104,180.263677,395.9248991,20.73554541,112.6026306,262.5867231,276.9746863,31.04703344,165.8125799,165.8125799
1,1_17S,17S,2023,452.9727259,48.96814732,48.514,355.4905786,283.0372534,36.39663535,66.37694104,180.263677,395.9248991,20.73554541,262.5867231,262.5867231
2,2_17S,17S,2011,296.956049,4.530675331,49.022,243.4033737,NA,NA,NA,NA,NA,NA,NA,NA
2,2_17S,17S,2012,197.0419894,82.33141737,18.288,96.42257201,296.956049,4.530675331,49.022,243.4033737,NA,NA,NA,NA
2,2_17S,17S,2013,271.6388256,72.18398008,26.416,173.0388455,197.0419894,82.33141737,18.288,96.42257201,296.956049,4.530675331,243.4033737,243.4033737
2,2_17S,17S,2014,452.4155053,187.0788798,76.2,189.1366255,271.6388256,72.18398008,26.416,173.0388455,197.0419894,82.33141737,96.42257201,96.42257201
2,2_17S,17S,2015,380.1260727,76.93913332,60.198,242.9889394,452.4155053,187.0788798,76.2,189.1366255,271.6388256,72.18398008,173.0388455,173.0388455
2,2_17S,17S,2016,240.7588179,59.63970847,71.374,109.7451094,380.1260727,76.93913332,60.198,242.9889394,452.4155053,187.0788798,189.1366255,189.1366255
2,2_17S,17S,2017,326.0676631,62.49144038,55.88,207.6962227,240.7588179,59.63970847,71.374,109.7451094,380.1260727,76.93913332,242.9889394,242.9889394
2,2_17S,17S,2018,329.2149724,82.89412734,53.34,192.9808451,326.0676631,62.49144038,55.88,207.6962227,240.7588179,59.63970847,109.7451094,109.7451094
2,2_17S,17S,2019,341.6237888,21.73354902,76.580954,243.3092858,329.2149724,82.89412734,53.34,192.9808451,326.0676631,62.49144038,207.6962227,207.6962227
2,2_17S,17S,2020,278.2046515,29.74524982,79.16836146,169.2910402,341.6237888,21.73354902,76.580954,243.3092858,329.2149724,82.89412734,192.9808451,192.9808451
2,2_17S,17S,2021,384.0857408,20.38112264,112.3297697,251.3748485,278.2046515,29.74524982,79.16836146,169.2910402,341.6237888,21.73354902,243.3092858,243.3092858
2,2_17S,17S,2022,285.2817959,35.13994389,66.19116519,183.9506868,384.0857408,20.38112264,112.3297697,251.3748485,278.2046515,29.74524982,169.2910402,169.2910402
2,2_17S,17S,2023,453.6413899,49.77909297,48.514,355.3482969,285.2817959,35.13994389,66.19116519,183.9506868,384.0857408,20.38112264,251.3748485,251.3748485
3,3_17S,17S,2011,303.278229,4.81105239,49.022,249.4451766,NA,NA,NA,NA,NA,NA,NA,NA
3,3_17S,17S,2012,197.5499529,81.24997493,18.288,98.01197801,303.278229,4.81105239,49.022,249.4451766,NA,NA,NA,NA
3,3_17S,17S,2013,272.4055139,73.94857054,26.416,172.0409434,197.5499529,81.24997493,18.288,98.01197801,303.278229,4.81105239,249.4451766,249.4451766
3,3_17S,17S,2014,452.0456786,184.5578888,76.2,191.2877898,272.4055139,73.94857054,26.416,172.0409434,197.5499529,81.24997493,98.01197801,98.01197801
3,3_17S,17S,2015,380.734107,77.91221399,60.198,242.623893,452.0456786,184.5578888,76.2,191.2877898,272.4055139,73.94857054,172.0409434,172.0409434
3,3_17S,17S,2016,239.4027842,59.45126747,71.374,108.5775167,380.734107,77.91221399,60.198,242.623893,452.0456786,184.5578888,191.2877898,191.2877898
3,3_17S,17S,2017,319.4465419,60.94811476,55.88,202.6184272,239.4027842,59.45126747,71.374,108.5775167,380.734107,77.91221399,242.623893,242.623893
3,3_17S,17S,2018,326.6269324,82.71521648,53.34,190.5717159,319.4465419,60.94811476,55.88,202.6184272,239.4027842,59.45126747,108.5775167,108.5775167
3,3_17S,17S,2019,344.7664112,21.55052972,79.82390771,243.3919737,326.6269324,82.71521648,53.34,190.5717159,319.4465419,60.94811476,202.6184272,202.6184272
